Tahun_Anggaran,Kode_Sasaran_Strategis,Kode_IKU,Nama_Indikator_Kinerja,Target_Tahunan,Satuan,Penanggung_Jawab_Bidang
2026,"Meningkatnya Penyelesaian Perkara",IKU-01,"Persentase Perkara yang Diselesaikan Tepat Waktu",100,%,Kepaniteraan
2026,"Meningkatnya Kualitas Putusan",IKU-02,"Persentase Putusan yang Tidak Ada Kesalahan Administrasi",100,%,Kepaniteraan
2026,"Meningkatnya Akses Peradilan",IKU-03,"Persentase Perkara e-Court",50,%,Kepaniteraan
2026,"Meningkatnya Akses Peradilan",IKU-04,"Persentase Keberhasilan Mediasi",30,%,Kepaniteraan
2026,"Meningkatnya Kualitas Layanan Publik",IKU-05,"Indeks Kepuasan Masyarakat (IKM)",85,Indeks,Kesekretariatan
2026,"Meningkatnya Integritas Aparatur",IKU-06,"Indeks Persepsi Anti Korupsi (IPAK)",85,Indeks,Kesekretariatan
2026,"Meningkatnya Akuntabilitas Kinerja",IKU-07,"Nilai AKIP",80,Nilai,Kesekretariatan
2026,"Meningkatnya Tata Kelola Keuangan",IKU-08,"Persentase Serapan Anggaran DIPA 01",100,%,Kesekretariatan
2026,"Meningkatnya Tata Kelola Keuangan",IKU-09,"Persentase Serapan Anggaran DIPA 04",100,%,Kesekretariatan
2026,"Meningkatnya Kedisiplinan Pegawai",IKU-10,"Persentase Kehadiran Tepat Waktu",95,%,Kesekretariatan
2026,"Meningkatnya Tertib Administrasi",IKU-11,"Persentase Berkas Kasasi Diajukan Tepat Waktu",100,%,Kepaniteraan
2026,"Meningkatnya Penanganan Pengaduan",IKU-12,"Persentase Pengaduan yang Ditindaklanjuti",100,%,Kesekretariatan
2026,"Peningkatan Kompetensi Aparatur",IKU-13,"Jumlah Pegawai Mengikuti Diklat",20,Orang,Kesekretariatan
2026,"Peningkatan Kualitas Sarpras",IKU-14,"Persentase Pemeliharaan Gedung Kantor",100,%,Kesekretariatan
2026,"Kepatuhan Pelaporan LHKPN",IKU-15,"Persentase Kepatuhan Pelaporan LHKPN",100,%,Kesekretariatan
2026,"Efisiensi Waktu Pelayanan",IKU-16,"Rata-rata Waktu Tunggu Sidang (Minimalisir)",30,Menit,Kepaniteraan
2026,"Optimalisasi Penerimaan Negara",IKU-17,"Persentase Penyetoran PNBP Tepat Waktu",100,%,Kepaniteraan
2026,"Inovasi Pelayanan",IKU-18,"Jumlah Inovasi Layanan Publik Diimplementasikan",2,Inovasi,Kepaniteraan
2026,"Penyelesaian Sisa Perkara",IKU-19,"Persentase Sisa Perkara Diselesaikan",100,%,Kepaniteraan
2026,"Kualitas Data SIPP",IKU-20,"Persentase Kelengkapan Data SIPP",100,%,Kepaniteraan
